dataset,type,cumulative_final_alpha,cumulative_final_ci_lower,cumulative_final_ci_upper,cumulative_final_ci_width,cumulative_run_count_to_estimate_stability,cumulative_run_count_to_precision_stability,cumulative_max_abs_deviation_from_final,adjacent_mean_alpha,adjacent_sd_alpha,adjacent_iqr_alpha,adjacent_min_alpha,adjacent_max_alpha,adjacent_share_below_threshold,adjacent_mean_ci_width
manifestos_multi,Filtered,0.9750735289153228,0.9726219147881868,0.9782940682248028,0.005672153436615979,3,5.0,0.012142889330415185,0.9752562013153034,0.008684076588291791,0.01532879093629358,0.9564874046343596,0.9866841569070977,0.0,0.02938192066513849
manifestos_multi,Filtered & Balanced,0.9750875574734968,0.972625127144826,0.9781507993016392,0.0055256721568132106,3,4.0,0.011198028802484439,0.9753930967000007,0.008515571538841462,0.013816871631900263,0.9574311355055068,0.9865572800098482,0.0,0.02950305513912923
stance,Filtered,0.9315852994616672,0.9272675045426134,0.9361119093469012,0.008844404804287831,4,9.0,0.015212113470189248,0.9320965409251656,0.0130250122366002,0.012236217037676078,0.9079420473633212,0.9531649325875324,0.0,0.08471479964683615
stance,Filtered & Balanced,0.9314749249690472,0.9269053817017784,0.9363342825325012,0.009428900830722786,4,9.0,0.015523797252365523,0.9317357120485282,0.012905645869742912,0.010030490763599076,0.9080632897999174,0.9520321266025784,0.0,0.08558531314594556
stance_long,Filtered,0.9556708523515532,0.951084577040612,0.960313937322481,0.009229360281869048,6,9.0,0.010994631438973279,0.9575300618036773,0.01229119154175208,0.018598055585414608,0.9312566248292988,0.9814558702095948,0.0,0.07359873969186558
stance_long,Filtered & Balanced,0.9557274138222585,0.9514320703705896,0.9600148910274624,0.00858282065687277,6,9.0,0.010863406357843441,0.9580745521879047,0.011922847687375015,0.018589902650478773,0.9303106027470156,0.9817231216394334,0.0,0.07365550086119659
mii,Filtered,0.9997741617931788,0.9996342632732064,1.0,0.0003657367267936307,2,2.0,0.00022583820682120503,0.9997475745389963,0.0009438875318167894,0.0,0.9963362458067208,1.0,0.0,0.0006623239633975237
mii,Filtered & Balanced,0.999768581027768,0.999628819987196,1.0,0.0003711800128040066,2,2.0,0.00023141897223200036,0.99974376621825,0.0009581365981310909,0.0,0.9962688898310624,1.0,0.0,0.0006901490202751379
mii_long,Filtered,0.9991802421447692,0.9987004190921136,1.0,0.0012995809078863996,2,2.0,0.0034020106875911615,0.9995667083729172,0.0012983742929457145,0.0,0.9957082801364232,1.0,0.0,0.001184742057824503
mii_long,Filtered & Balanced,0.99917949197572,0.9986703447869816,1.0,0.0013296552130184214,2,2.0,0.00349243525394094,0.9995502700648324,0.0013488533157198217,0.0,0.9953933219818462,1.0,0.0,0.001250457328863155
synth,Filtered,0.9463813867834248,0.9426040857061042,0.950248838619666,0.007644752913561814,2,7.0,0.009866753828425945,0.9459208513748254,0.013540924763429206,0.02000690662412752,0.9236668107312288,0.9720565925953896,0.0,0.06800718084425927
synth,Filtered & Balanced,0.9465646964942634,0.942711019495856,0.950384671566218,0.007673652070361969,3,7.0,0.011273981951558487,0.9461579329271766,0.01364898634827227,0.01879532944204676,0.9228670549367092,0.9723254548039972,0.0,0.0688023223999286
synth_short,Filtered,0.8208490666611106,0.8121120553498885,0.8308379054394088,0.018725850089520324,7,30.0,0.04387704166956763,0.8221447448085729,0.025066063568347362,0.02892055523361914,0.7686611294996536,0.8646601212765811,0.1724137931034483,0.17058032660195968
synth_short,Filtered & Balanced,0.8206825189554265,0.811381774602357,0.8302726247648008,0.01889085016244374,7,29.0,0.04451607839390814,0.8227986129015354,0.02571037828417234,0.029844273155594236,0.7651583984853556,0.8662515891980597,0.13793103448275862,0.1705718335936185
