mean_alpha,sd_alpha_across_temperatures,min_alpha,temperature_at_min_alpha,max_alpha,temperature_range_alpha,share_temperatures_below_threshold,dataset
0.77534729254816,0.0923445571792023,0.5604735821938771,4.3,0.9119172474420204,0.3514436652481433,0.52,tweets_rd
0.7136978497287254,0.08781173403992579,0.4398067416844569,3.9,0.8672391243440077,0.42743238265955086,0.96,tweets_pop
0.5843614197087765,0.17900426316008183,0.1577865828210272,5.0,0.8219048121587207,0.6641182293376935,0.88,news
0.6125649774415532,0.20176182774786272,0.0481678052244622,3.3,0.8665283723059306,0.8183605670814684,0.92,news_short
0.787392817534286,0.07338991702952084,0.5832837143975182,4.5,0.922464970782282,0.3391812563847637,0.56,manifestos
0.9039296396961569,0.027980642631634425,0.8374424270035469,4.8,0.9615322937886972,0.12408986678515033,0.0,manifestos_multi
0.7134031579145831,0.1517372244075837,0.3839660121275566,4.5,0.9282109307585266,0.5442449186309699,0.68,stance
0.590174165333728,0.18270432421579494,0.2697928433697278,4.8,0.9027538502295326,0.6329610068598048,0.84,stance_long
0.49013322401545883,0.28884730025993843,0.0638676755279999,4.5,0.8480947202356285,0.7842270447076286,0.8,mii
0.43909183843557875,0.32784510995322363,0.0407268296536747,5.0,0.8685558684175794,0.8278290387639047,0.72,mii_long
0.8299337405434164,0.11669968138413003,0.4178243615752813,3.7,0.9463504400987036,0.5285260785234223,0.24,synth
0.4654605968695208,0.21843053560621092,0.0588144375311576,3.3,0.7939373230006332,0.7351228854694757,1.0,synth_short
