temperature,ka_mean,dataset,type
4.3,0.1656806367023963,news_short,Filtered
4.5,0.4175510314217916,news_short,Filtered
4.8,0.45404075795495114,news_short,Filtered
5.0,0.8187132515379125,news_short,Filtered
0.1,0.3894539403037738,news,Filtered
0.3,0.39378146530415004,news,Filtered
0.5,0.8163294531079563,news,Filtered
0.7,0.7367479436223638,news,Filtered
0.9,0.8392851673027314,news,Filtered
1.1,0.6367853661670729,news,Filtered
1.3,0.7179495466178362,news,Filtered
1.5,0.6259006746210479,news,Filtered
1.7,0.7272313588156043,news,Filtered
1.9,0.6172104288632584,news,Filtered
2.1,0.6520452565325188,news,Filtered
2.3,0.65250467988037,news,Filtered
2.5,0.8113812387223784,news,Filtered
2.7,0.646354985699165,news,Filtered
2.9,0.7323244226768411,news,Filtered
3.1,0.37240985141951644,news,Filtered
3.3,0.6838590461865081,news,Filtered
3.5,0.6454164767091815,news,Filtered
3.7,0.604586374226947,news,Filtered
3.9,0.6509848917257927,news,Filtered
4.1,0.5127159622404042,news,Filtered
4.3,0.6873062783639048,news,Filtered
4.5,0.4075891634056331,news,Filtered
4.8,0.2281304450819729,news,Filtered
5.0,0.16287690548103517,news,Filtered
0.1,0.7268639578886642,stance_long,Filtered
0.3,0.902227499145001,stance_long,Filtered
0.5,0.8935633036905846,stance_long,Filtered
0.7,0.9069973322744842,stance_long,Filtered
0.9,0.9001258538132708,stance_long,Filtered
1.1,0.7368368227933018,stance_long,Filtered
1.3,0.6239994265135185,stance_long,Filtered
1.5,0.6185264436513044,stance_long,Filtered
1.7,0.5923283693977925,stance_long,Filtered
1.9,0.47612412673313254,stance_long,Filtered
2.1,0.42721972638613115,stance_long,Filtered
2.3,0.7001586226796395,stance_long,Filtered
2.5,0.6818080868031107,stance_long,Filtered
2.7,0.3535611177515966,stance_long,Filtered
2.9,0.5057637617224369,stance_long,Filtered
3.1,0.5531058868793358,stance_long,Filtered
3.3,0.6593790808491853,stance_long,Filtered
3.5,0.4198168584174705,stance_long,Filtered
3.7,0.5052288812546537,stance_long,Filtered
3.9,0.34793818900560236,stance_long,Filtered
4.1,0.5200213590522764,stance_long,Filtered
4.3,0.5445309407917129,stance_long,Filtered
4.5,0.3943056779147863,stance_long,Filtered
4.8,0.2661877633769465,stance_long,Filtered
5.0,0.4868328400534061,stance_long,Filtered
0.1,0.8135726817361233,stance,Filtered
0.3,0.8706280847152335,stance,Filtered
0.5,0.9261341156180781,stance,Filtered
0.7,0.9296823395014251,stance,Filtered
0.9,0.9177045388949777,stance,Filtered
1.1,0.8695820375086957,stance,Filtered
1.3,0.7665180276586205,stance,Filtered
1.5,0.6977034183603164,stance,Filtered
1.7,0.7175057938228244,stance,Filtered
1.9,0.5223505666432673,stance,Filtered
2.1,0.4784833264456265,stance,Filtered
2.3,0.8045987092447593,stance,Filtered
2.5,0.757022155890106,stance,Filtered
2.7,0.7474950589954982,stance,Filtered
2.9,0.6458177812428123,stance,Filtered
3.1,0.754571906460447,stance,Filtered
3.3,0.7082033426619353,stance,Filtered
3.5,0.745989280076786,stance,Filtered
3.7,0.5306948174244706,stance,Filtered
3.9,0.8084748258624537,stance,Filtered
4.1,0.7652919520490058,stance,Filtered
4.3,0.4855084286900361,stance,Filtered
4.5,0.37817192441722414,stance,Filtered
4.8,0.5201155193676504,stance,Filtered
5.0,0.7080079315927562,stance,Filtered
0.1,0.779332257685794,synth_short,Filtered
0.3,0.7679357905288466,synth_short,Filtered
0.5,0.6853308098392993,synth_short,Filtered
0.7,0.7949393297283898,synth_short,Filtered
0.9,0.7792654571198532,synth_short,Filtered
1.1,0.7873678588260535,synth_short,Filtered
1.3,0.776044176431935,synth_short,Filtered
1.5,0.6691692867937031,synth_short,Filtered
1.7,0.6881130868253177,synth_short,Filtered
1.9,0.5616522689014011,synth_short,Filtered
2.1,0.5923246386117011,synth_short,Filtered
2.3,0.6157351244751701,synth_short,Filtered
2.5,0.6181277739395,synth_short,Filtered
2.7,0.7674433666303585,synth_short,Filtered
2.9,0.4839698291276173,synth_short,Filtered
3.1,0.6001913002464345,synth_short,Filtered
3.3,0.5900146065521246,synth_short,Filtered
3.5,0.4906999708829881,synth_short,Filtered
3.7,0.31567533658177793,synth_short,Filtered
3.9,0.410823754194627,synth_short,Filtered
4.1,0.2881413779426808,synth_short,Filtered
4.3,0.4283930924278462,synth_short,Filtered
4.5,0.4963529958026742,synth_short,Filtered
4.8,0.35292310071440747,synth_short,Filtered
5.0,0.3683455998512437,synth_short,Filtered
0.1,0.9577974288032091,synth,Filtered
0.3,0.9600757275098715,synth,Filtered
0.5,0.9309206247939388,synth,Filtered
0.7,0.9532367228211289,synth,Filtered
0.9,0.9493751174597482,synth,Filtered
1.1,0.9526483781918564,synth,Filtered
